"Institution ID","Institution","Game Date","Uniform Number","Last Name","First Name","Rushing","","","","","Passing","","","","","","Total Off.","","Receiving","","","Pass Int","","","Fumble Ret","","","Punting","","Punt Ret","","","KO Ret","","","Total TD","Off xpts","","","","Def xpts","","","","FG","","Saf","Points"
"","","","","","","Rushes","Gain","Loss","Net","TD","Att","Cmp","Int","Yards","TD","Conv","Plays","Yards","No.","Yards","TD","No.","Yards","TD","No.","Yards","TD","No.","Yards","No.","Yards","TD","No.","Yards","TD","","Kicks Att","Kicks Made","R/P Att","R/P Made","Kicks Att","Kicks Made","Int/Fum Att","Int/Fum Made","Att","Made"
"721","Air Force","10/13/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","2","40","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","3","93","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","1","17","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/05/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","2","45","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","5","90","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","85","KAUTH","ZACK","","","","","","","","","","","","0","0","3","123","3","","","","","","","","","","","","","","","3","","","","","","","","","","","","18"
"721","Air Force","09/03/11","37","LACOSTE","ANTHONY","2","26","0","26","0","","","","","","","2","26","","","","","","","","","","","","","","","2","58","0","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","37","LACOSTE","ANTHONY","4","77","0","77","0","","","","","","","4","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/08/11","37","LACOSTE","ANTHONY","2","27","1","26","0","","","","","","","2","26","","","","","","","","","","","","","","","1","22","0","","","","1","1","","","","","","","","2"
"721","Air Force","10/22/11","37","LACOSTE","ANTHONY","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","3","54","0","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","37","LACOSTE","ANTHONY","1","0","0","0","0","","","","","","","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","34","LEE","JONATHAN","2","65","0","65","1","","","","","","","2","65","","","","","","","","","","","","","","","1","33","0","1","","","","","","","","","","","","6"
"721","Air Force","10/08/11","34","LEE","JONATHAN","3","25","0","25","1","","","","","","","3","25","","","","","","","","","","","","","","","1","19","0","1","","","","","","","","","","","","6"
"721","Air Force","11/12/11","34","LEE","JONATHAN","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","1","29","0","","","","","","","","","","","","","0"
"721","Air Force","11/19/11","34","LEE","JONATHAN","4","24","0","24","0","","","","","","","4","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","34","LEE","JONATHAN","2","8","0","8","0","","","","","","","2","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/10/11","27","MACARTHUR","TY","1","0","2","-2","0","","","","","","","1","-2","1","19","0","","","","","","","","","","","","1","22","0","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","27","MACARTHUR","TY","1","2","0","2","0","","","","","","","1","2","1","24","0","","","","","","","","","","","","1","33","0","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","27","MACARTHUR","TY","","","","","","","","","","","","0","0","1","52","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","6"
"721","Air Force","10/08/11","27","MACARTHUR","TY","","","","","","","","","","","","0","0","1","6","1","","","","","","","","","","","","1","29","0","1","","","","","","","","","","","","6"
"721","Air Force","10/13/11","27","MACARTHUR","TY","1","7","0","7","0","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/22/11","27","MACARTHUR","TY","3","42","0","42","0","","","","","","","3","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/01/11","9","MEANS","ALEX","","","","","","","","","","","","0","0","","","","1","3","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","11/26/11","42","NIKLAS","AUSTIN","","","","","","","","","","","","0","0","","","","","","","1","4","0","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/13/11","84","PICKETT","DANIEL","","","","","","","","","","","","0","0","1","20","0","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","09/24/11","30","PIERCE","ROLAND","","","","","","","","","","","","0","0","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","0"
"721","Air Force","10/29/11","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","","","","1"
"721","Air Force","11/19/11","99","SODERBERG","ERIK","","","","","","","","","","","","0","0","","","","","","","","","","","","","","","","","","","1","1","0","0","","","","","","","","1"
